,Country,January_2020_recovery,February_2020_recovery,March_2020_recovery,April_2020_recovery,May_2020_recovery,June_2020_recovery,July_2020_recovery,August_2020_recovery,September_2020_recovery,October_2020_recovery,November_2020_recovery,December_2020_recovery,January_2021_recovery,January_2020_cases,February_2020_cases,March_2020_cases,April_2020_cases,May_2020_cases,June_2020_cases,July_2020_cases,August_2020_cases,September_2020_cases,October_2020_cases,November_2020_cases,December_2020_cases,January_2021_cases,January_2020_deaths,February_2020_deaths,March_2020_deaths,April_2020_deaths,May_2020_deaths,June_2020_deaths,July_2020_deaths,August_2020_deaths,September_2020_deaths,October_2020_deaths,November_2020_deaths,December_2020_deaths,January_2021_deaths,ages_10-14_female,ages_10-14_male,ages_20-24_female,ages_20-24_male,ages_30-34_female,ages_30-34_male,ages_40-44_female,ages_40-44_male,ages_50-54_female,ages_50-54_male,ages_65_and_above_female,ages_65_and_above_male,Countries_Binned
59,Estonia,0,0,26,249,1624,1829,1930,2088,2605,3811,7078,18326,33738,0,1,745,1689,1869,1989,2064,2375,3371,4905,12308,27990,44208,0,0,4,52,68,69,69,64,64,73,118,229,419,5.118286523,6.073479236,4.287841745,5.050061759,6.862149028,8.45639983,6.261882656,7.404257085,5.739868359,6.080181799,24.8253634,14.59802179,Europe
60,Eswatini,0,0,0,12,189,408,1214,3529,4912,5646,6006,7073,10478,0,0,9,100,285,812,2648,4577,5482,5917,6419,9358,15711,0,0,0,1,2,11,41,91,109,117,122,205,565,12.40776775,13.01320208,9.307534215,10.44012864,7.699417265,6.563549459,5.478838903,4.501323762,2.14694632,2.8253878,5.026283734,2.960784662,Africa
61,Ethiopia,0,0,2,59,209,2430,6950,18994,31204,52517,73808,112096,122862,0,0,26,131,1172,5846,17530,52131,75368,96169,110074,124264,137650,0,0,0,3,11,103,274,809,1198,1469,1706,1923,2093,12.08345823,12.31971859,10.08487116,10.28499024,6.46404957,6.427789841,4.264731269,4.223309961,2.854790255,2.651825051,3.788767446,3.244876385,Africa
62,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,Europe
63,Fiji,0,0,0,12,15,18,18,23,28,31,33,44,53,0,0,5,18,18,18,27,28,32,34,42,49,55,0,0,0,0,0,0,1,2,2,2,2,2,2,9.157714421,9.328785987,8.013512652,8.106058422,7.458154516,7.637944913,6.153814613,6.383728898,5.345834586,5.331526813,6.298235064,4.969409636,Australia
64,Finland,0,1,10,3000,5500,6600,6950,7200,8100,11300,16800,29000,31000,1,3,1418,4995,6859,7214,7432,8086,9992,16113,24912,36107,45238,0,0,17,211,320,328,329,336,344,358,399,561,671,5.35460716,5.758852454,5.562988846,6.01204161,5.993620561,6.550797335,5.885704161,6.353306126,6.369491923,6.594981685,24.4663985,19.74890089,Europe
65,France,0,12,9513,50380,68473,76399,81764,86790,98632,123095,167913,200142,230612,5,100,52278,168861,190975,204244,227239,321160,605893,1414364,2276874,2677666,3255920,0,2,3526,24380,28805,29846,30268,30646,31978,36827,52819,64759,76201,5.794971778,6.472237112,5.447639009,5.924999145,6.021740004,6.185383975,6.011676097,6.248645894,6.594186495,6.795379491,22.48153762,18.16407267,Europe
66,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
67,Gabon,0,0,0,67,722,2420,4943,7264,8005,8698,9066,9388,10260,0,0,16,276,2655,5394,7352,8533,8766,8968,9214,9571,10748,0,0,1,3,17,42,49,53,54,55,60,64,68,10.28905106,10.0751949,8.378016966,8.196407134,8.527868896,8.555205606,5.216778915,6.146943749,3.339691256,3.512500542,4.029685311,3.077313884,Africa
68,Georgia,0,0,21,184,605,794,940,1240,3120,22691,113986,211727,249028,0,1,110,539,783,928,1168,1487,6192,38936,135584,227420,258111,0,0,0,6,12,15,17,19,39,307,1267,2505,3178,5.537491529,6.785699856,5.492346076,6.647223681,7.004383987,7.5849157,6.46636879,6.720528424,6.4325097,6.201623199,18.04302113,11.78894531,Asia
69,Germany,0,16,16100,123500,165352,178100,191992,216795,256861,356410,749219,1350708,1940046,5,79,71808,163009,183410,195418,210399,244802,292913,531790,1069912,1760520,2225659,0,0,775,6623,8540,8990,9147,9303,9495,10483,16694,33791,57163,4.322045004,4.778841922,5.145877616,5.760829051,6.224063818,6.819220243,5.85651803,6.091185229,8.081471979,8.359439954,23.93485974,19.1319838,Europe
